"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","Remove from Cart Functionality","0","1","0","0","0"
"","","Login Functionality","0","0","11","0","0"
"","","Add to Cart Functionality","1","0","2","0","0"
"","","Checkout Functionality","0","1","0","0","0"
"","","Cart Page Display","1","0","0","0","0"
"","","Add to Cart Without Login","0","0","1","0","0"
"","","Logout Functionality","0","1","0","0","0"
"","","Login Page Form Display","0","0","1","0","0"
"","","Restricted Page Access","0","0","1","0","0"
